l_name,l_team,l_pos,l_gp,l_points,l_owners,l_proj,l_actual,l_passyd,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_touchdown,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_owners18,l_actual18,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_2ptpg18,l_fumblepg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17
Josh Jacobs,Oak,RB,1,28.37,97%,91,26,0,0,0,85,2,8,1,28,0,1,4,28.37,12.90,5.40,16.83,32.63,-,21.07,12.60,,,,,,,,,,,,,,,,,,,,,,,,
Chris Carson,Sea,RB,1,27.87,97%,57,28,0,0,0,46,1,4,6,34,1,1,4,27.87,13.80,5.07,27.13,30.13,29.73,15.10,19.00,,,,,,,,,,,,,,,,,,,,,,,,
Dalvin Cook,Min,RB,1,26.70,100%,13,34,0,0,0,111,2,5,2,9,0,0,4,26.70,30.87,27.20,19.83,29.93,16.97,33.67,32.67,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,NYG,RB,1,23.27,100%,2,51,0,0,0,120,0,6,4,19,0,0,0,23.27,25.57,7.80,0,0,0,18.73,34.67,,,,,,,,,,,,,,,,,,,,,,,,
Mark Ingram II,Bal,RB,1,21.70,97%,71,55,0,0,0,107,2,3,0,0,0,0,4,21.70,13.70,38.43,11.10,14.73,20.67,7.07,-,,,,,,,,,,,,,,,,,,,,,,,,
Damien Williams,KC,RB,1,21.20,100%,53,57,0,0,0,26,1,3,6,39,1,3,4,21.20,11.00,0.00,0.00,7.30,12.53,2.63,8.00,,,,,,,,,,,,,,,,,,,,,,,,
Dontrell Hilliard,Cle,RB,1,18.13,1%,302,71,0,0,0,4,1,1,1,14,0,1,1,18.13,0,0,13.50,6.40,15.33,-,11.40,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,Buf,RB,1,17.87,76%,202,75,0,0,0,70,0,4,5,28,0,0,0,17.87,11.70,0,0,0,-,2.60,17.90,,,,,,,,,,,,,,,,,,,,,,,,
Darren Sproles,Phi,RB,1,17.37,2%,329,81,0,0,0,47,0,2,3,16,0,0,0,17.37,4.13,0.60,0.40,3.20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Brown,LAR,RB,1,17.30,12%,294,83,0,0,0,53,2,4,0,0,0,0,4,17.30,6.37,0.70,2.40,0.30,8.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Rex Burkhead,NE,RB,1,17.13,5%,293,86,0,0,0,44,0,3,5,41,0,2,0,17.13,10.23,18.17,1.47,0,0,0,2.00,,,,,,,,,,,,,,,,,,,,,,,,
LeSean McCoy,KC,RB,1,16.90,78%,235,89,0,0,0,81,0,6,1,12,0,1,0,16.90,5.30,27.13,15.80,1.53,9.40,11.20,9.53,,,,,,,,,,,,,,,,,,,,,,,,
Tarik Cohen,Chi,RB,1,16.87,91%,69,90,0,0,0,0,0,0,8,49,0,2,0,16.87,6.97,4.83,14.17,17.80,-,12.87,13.37,,,,,,,,,,,,,,,,,,,,,,,,
Todd Gurley II,LAR,RB,1,15.97,100%,35,95,0,0,0,97,0,4,1,4,0,1,0,15.97,18.57,5.30,23.20,18.50,0,17.97,12.40,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Fournette,Jax,RB,1,15.47,99%,39,99,0,0,0,66,0,3,4,28,0,2,0,15.47,16.37,17.33,35.83,28.73,21.27,25.03,22.60,,,,,,,,,,,,,,,,,,,,,,,,
James White,NE,RB,1,15.33,94%,73,100,0,0,0,26,0,1,5,56,0,3,0,15.33,15.27,0,0,16.67,16.97,12.93,10.40,,,,,,,,,,,,,,,,,,,,,,,,
Duke Johnson,Hou,RB,1,14.90,94%,77,111,0,0,0,57,0,2,4,33,0,1,0,14.90,3.10,4.67,13.07,9.43,18.73,9.87,16.30,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Jones II,TB,RB,1,14.70,28%,185,116,0,0,0,75,0,4,1,18,0,1,0,14.70,1.90,15.73,15.80,9.90,6.00,-,7.63,,,,,,,,,,,,,,,,,,,,,,,,
Chris Thompson,Was,RB,1,14.53,12%,196,121,0,0,0,10,0,0,7,68,0,2,0,14.53,10.50,16.17,10.13,10.23,3.73,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chubb,Cle,RB,1,14.17,100%,24,123,0,0,0,75,0,2,3,10,0,1,0,14.17,21.60,20.93,38.70,13.50,28.33,-,16.57,,,,,,,,,,,,,,,,,,,,,,,,
Ezekiel Elliott,Dal,RB,1,13.97,100%,31,126,0,0,0,53,1,2,1,10,0,1,1,13.97,23.70,24.43,16.50,20.13,31.70,30.50,-,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Hyde,Hou,RB,1,13.43,31%,232,130,0,0,0,83,0,4,1,2,0,0,0,13.43,15.00,7.90,13.20,16.00,23.53,5.50,11.30,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Gallman Jr.,NYG,RB,1,13.30,1%,348,131,0,0,0,17,1,2,3,24,0,1,1,13.30,0,2.30,30.97,2.40,0,0,2.33,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Lindsay,Den,RB,1,12.83,96%,85,140,0,0,0,43,0,2,4,23,0,1,0,12.83,15.60,29.37,8.77,27.60,16.33,6.33,15.03,,,,,,,,,,,,,,,,,,,,,,,,
Latavius Murray,NO,RB,1,12.57,86%,139,142,0,0,0,43,1,2,2,4,0,0,1,12.57,3.77,0.20,4.80,6.20,13.73,33.97,41.87,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,Pit,RB,1,11.03,100%,29,156,0,0,0,21,0,1,4,44,0,1,0,11.03,13.10,11.23,33.73,11.50,36.30,- ,29.83,,,,,,,,,,,,,,,,,,,,,,,,
Kerryon Johnson,Det,RB,1,10.77,99%,46,163,0,0,0,49,0,2,2,13,0,1,0,10.77,22.23,13.07,22.63,-,14.20,2.30,0,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Ricard,Bal,RB,1,10.07,0%,661,166,0,0,0,0,0,0,1,1,1,1,1,10.07,1.20,0,0,0,1.40,0,-,,,,,,,,,,,,,,,,,,,,,,,,
Mike Davis,Chi,RB,1,10.03,14%,289,167,0,0,0,19,0,0,6,17,0,1,0,10.03,0.10,0.20,0,0,-,0,1.63,,,,,,,,,,,,,,,,,,,,,,,,
