l_name,l_team,l_pos,l_proj,l_actual,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_ppr18
Derek Carr,Oak,QB,80,120,14.56,10.72,15.68,13.46,7.96,12.476,15.72,23.4,14.247,13.75375,253.0625,1.1875,0.625,2.9375,0.0625,0.3125,1.5625,10.9727,14.096,233.0666667,1.466666667,0.866666667,4.4,0.0,0.333333333,0.133333333,0.2,2.15111111208889,22.4044444412889,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,Bal,QB,12,10,33.56,36.88,22.28,29.48,15.44,34.64,27.32,28.5142857142857,28.5142857142857,12.03375,75.0625,0.375,0.1875,43.4375,0.3125,2.8125,0.47265625,2168.0664,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,317,152,11.4,4.07,2.83,2.6,3.12,2.7,13.37,18.2,7.28625,4.951875,4.0,0.0,0.0625,12.25,0.125,0.9375,0.015625,177.22265625,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,0.0,0.0,0.0,0.0,0.0
Kyler Murray,Ari,QB,55,56,21.62,16.36,22.82,16.34,27.42,31.8,8.96,10.1,19.4275,18.0064044888643,247.353705471116,1.64464895223824,0.699824282859997,13.8711701988488,0.125530570619856,1.12297261270476,3.48711158112745,378.598451705896,16.5796269581786,232.978800068214,1.57176319603571,0.747558542571429,13.19792054375,0.103169394535714,0.92903966075,0.0682381607142857,0.186603084928571,3.08328006696123,391.137030337569,0.0,0.0,0.0,0.0,0.0
Jacoby Brissett,Ind,QB,100,79,17.5,19.34,21.8,23.5,11.94,18.816,27.64,10.48,18.877,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,0.0,0.0,0.0,0.0,0.0
Josh Allen,Buf,QB,68,87,16.96,21.22,21.32,8.72,19.46,17.536,23.28,20.26,18.5945,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,Jax,QB,914,77,17.6,18.12,17.96,16.72,23.16,4.62,23.0,26.96,18.5175,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,0.0,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,48,164,10.44,23.64,11.38,15.1533333333333,14.94,12.12,8.04,13.0,13.5891666666667,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,0.0,0.0,0.0,0.0,0.0
Case Keenum,Was,QB,120,30,27.2,16.74,12.58,-0.52,0.0,15.64,3.08,3.2,9.74,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,Bal,QB,543,207,7.1,7.1,0.0,0.0,0.0,0.0,0.0,2.02857142857143,2.02857142857143,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,0.0,0.0,0.0,0.0,0.0
