l_name,l_team,l_pos,l_proj,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_points9,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_touchdown18,l_ppr18,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10,opp_11,opp_12,opp_13,opp_14,opp_15,opp_16,opp_17,good_opp,med_opp,bad_opp
Odell Beckham Jr.,Cle,WR,20,14.73,28.73,12.73,4.33,5.50,16.73,13.7916666666667,10.47,14.30,13.4790740740741,22.1891666666667,0,0,0,0,0,0,2.5,30.75,0.25,1,0.0625,6.3,1,3,2,2,1,2,0,1,1,1,3,2,3,1,3,2,1,4,5,7
Adam Thielen,Min,WR,27,15.87,12.00,21.77,2.40,38.67,20.80,11.67,0,0,13.6866666666667,22.158125,0,0,0,27.4,0,1.2,1.8,11.6,0,0.6,0,3.2,3,1,3,1,3,2,3,2,1,1,1,0,2,3,2,1,1,5,4,7
Julian Edelman,NE,WR,34,18.61,8.50,24.13,6.00,28.33,21.53,17.03,32.90,18.93,19.5511111111111,21.2075,0,0,0,0,0,0,1.71428571428571,21.8571428571429,0,1,0,2.93877551020407,3,2,3,1,2,3,3,2,2,0,2,1,3,1,1,1,2,5,6,5
Travis Kelce,KC,TE,38,10.87,28.13,17.93,18.67,12.67,10.87,11.93,20.20,15.13,16.2666666666667,21.129375,0,0,0,0,0,0,6.25,94.5,0,5,0,39.06,2,3,1,3,3,2,2,3,2,2,1,0,3,1,2,3,1,6,6,4
Joe Mixon,Cin,RB,41,3.47,7.37,23.27,13.27,16.37,5.93,10.33,25.33,13.1675,13.1675,20.9664285714286,0,0,0,0.571428571428571,0,0,7.28571428571429,81.7142857142857,0.571428571428571,3.57142857142857,0.326530612244897,53.08163265306130,1,1,2,2,2,1,1,2,0,1,2,2,3,3,1,3,3,4,6,6
JuJu Smith-Schuster,Pit,WR,11,15.20,14.60,17.40,4.00,21.00,1.47,12.28,23.87,5.07,12.77,20.773125,0,0,0,25.6666666666667,0.333333333333333,1.66666666666667,0.166666666666667,1.66666666666667,0,0,0.111111111111111,0.027777777777778,1,2,1,1,2,2,0,2,2,2,2,1,2,3,1,3,2,2,9,5
Zach Ertz,Phi,TE,56,11.60,16.80,11.27,16.33,18.80,7.60,6.53,4.33,31.87,13.9033333333333,20.220625,0,0,0,0,0,0,2.57142857142857,30.5714285714286,0.428571428571429,1.85714285714286,0.183673469387755,6.61224489795918,2,2,3,3,1,2,3,1,3,0,1,3,2,1,2,3,1,6,5,5
Mike Evans,TB,WR,21,5.87,11.07,51.67,20.93,0,22.40,18.6566666666667,48.20,44,24.7551851851852,20.1625,0,0,0,0,0,0,1.71428571428571,17.2857142857143,0.142857142857143,1,0.0204081632653062,2.93877551020407,1,2,3,2,2,2,0,1,2,3,2,3,2,2,3,3,3,6,8,2
Stefon Diggs,Min,WR,61,5.47,11.27,5.00,15.20,7.93,49.93,22.53,18.53,3.47,15.4811111111111,20.1513333333333,0,0,0,0,0,0,2.16666666666667,29.3333333333333,0,1.5,0,4.69444444444446,3,1,3,1,3,2,3,2,1,1,1,0,2,3,2,1,1,5,4,7
James White,NE,RB,73,15.33,15.27,0,0,16.67,16.97,12.93,10.40,16.87,11.6044444444444,19.723125,0,0,0,102.142857142857,0.142857142857143,4.57142857142857,4,29,0,1.85714285714286,0.0204081632653062,16,2,3,3,2,3,2,3,3,1,0,1,2,2,3,3,2,3,8,6,2
