l_name,l_team,l_pos,l_proj,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_points9,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_touchdown18,l_ppr18,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10,opp_11,opp_12,opp_13,opp_14,opp_15,opp_16,opp_17,good_opp,med_opp,bad_opp
Darren Waller,Oak,TE,237,14.67,13.20,29.63,13.53,7.60,15.726,38.40,11.73,7.47,16.884,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,2,2,3,3,0,3,2,3,1,1,1,2,2,2,1,2,4,8,4
Delanie Walker,Ten,TE,147,29.67,8.60,14.27,1.27,1.67,6.87,0,0,0,6.92777777777778,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,3,2,2,1,2,1,3,1,2,0,2,3,3,2,1,2,4,8,4
Foster Moreau,Oak,TE,398,3.33,0,1.07,16.00,10.07,6.094,13.60,2.67,10.20,7.00377777777778,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,2,2,3,3,0,3,2,3,1,1,1,2,2,2,1,2,4,8,4
Hunter Henry,LAC,TE,104,11.00,0,0,0,0,36.67,18.47,9.13,17.60,10.3188888888889,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,3,2,2,2,3,2,3,3,3,2,0,2,2,2,3,2,7,9,0
Jason Witten,Dal,TE,258,13.00,15.67,8.60,8.33,6.93,10.80,9.20,10.3614285714286,13.87,10.7512698412698,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,2,2,1,3,1,2,0,1,2,3,1,1,3,2,2,2,3,7,6
Mark Andrews,Bal,TE,178,29.20,29.47,5.00,16.07,10.00,14.60,5.60,15.7057142857143,5.40,14.5606349206349,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,2,2,3,3,0,3,2,3,1,1,1,2,2,2,1,2,4,8,4
Noah Fant,Den,TE,248,4.43,9.20,5.47,13.07,1.40,4.07,1.47,8.73,69.50,13.0377777777778,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,3,3,2,1,2,2,3,2,0,2,1,1,2,2,3,3,6,7,3
Robert Tonyan,GB,TE,351,3.87,0,1.27,2.73,3.53,0,0,0,0,1.26666666666667,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,2,3,3,3,2,1,1,0,1,1,2,3,2,3,6,6,4
T.J. Hockenson,Det,TE,234,26.73,1.47,1.07,15.80,11.2675,6.40,7.13,3.40,9.73,9.22194444444444,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,1,2,2,0,3,2,1,3,3,3,2,3,2,3,2,3,8,6,2
Tommy Sweeney,Buf,TE,929,5.33,0,1.20,0,0,1.306,0,0,0,0.870666666666667,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,1,1,2,0,2,2,2,2,2,2,2,3,1,3,1,1,2,8,6
A.J. Brown,Ten,WR,275,11.67,5.67,1.27,28.27,4.80,5.53,14.07,11.73,13.40,10.7122222222222,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,2,2,3,1,1,2,3,2,1,0,2,2,3,3,2,3,5,8,3
Albert Wilson,Mia,WR,211,3.97,0,0,0,0,7.00,3.47,10.33,1.20,2.88555555555556,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,2,0,2,1,3,3,2,1,2,2,3,3,1,1,4,6,6
Allen Hurns,Mia,WR,320,3.47,1.87,1.40,0,1.685,4.07,8.53,10.80,4.07,3.98833333333333,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,2,0,2,1,3,3,2,1,2,2,3,3,1,1,4,6,6
Andy Isabella,Ari,WR,330,8.60,0,1.90,0.50,1.10,0,3.53,0,15.87,3.5,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,2,1,3,3,2,1,3,1,0,2,1,2,2,2,4,8,4
Bennie Fowler III,NYG,WR,397,9.67,14.40,1.33,2.20,0,0,8.33,4.40,6.47,5.2,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,1,3,2,3,1,3,3,1,3,0,1,1,2,2,2,2,5,5,6
Breshad Perriman,TB,WR,253,4.67,0,4.70,0,0,0,0,0,17.80,3.01888888888889,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,3,2,2,2,2,0,1,2,3,2,3,2,2,3,3,3,6,8,2
Chad Beebe,Min,WR,257,3.90,8.57,2.10,0,0,0,0,0,0,1.61888888888889,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,1,3,1,3,2,3,2,1,1,1,0,2,3,2,1,1,5,4,7
Chris Conley,Jax,WR,266,25.47,12.87,5.00,3.13,3.73,0.00,12.53,21.87,6.13,10.0811111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,3,1,1,2,2,1,3,3,0,2,1,3,2,3,3,2,6,5,5
Cody Latimer,NYG,WR,273,9.93,8.00,0,0,0,0,9.20,7.97,30.63,7.30333333333333,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,1,3,2,3,1,3,3,1,3,0,1,1,2,2,2,2,5,5,6
DaeSean Hamilton,Den,WR,190,3.33,4.00,0,9.80,0,5.67,2.27,0,0,2.78555555555556,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,1,1,2,2,1,1,2,2,0,3,1,2,3,1,3,3,5,5,6
Damiere Byrd,Ari,WR,431,9.80,16.90,2.60,0,0,7.00,1.27,4.20,0,4.64111111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,2,1,3,3,2,1,3,1,0,2,3,2,2,2,5,8,3
Damion Ratley,Cle,WR,384,4.13,7.33,8.93,2.67,0,0,0,0,0,2.56222222222222,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,3,2,2,1,2,0,1,1,1,3,2,3,1,3,2,1,4,5,7
Damion Willis,Cin,WR,284,7.00,1.40,0,1.53,7.53,0,0,0,0,2.1825,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,3,3,2,2,2,0,2,3,3,3,2,1,2,2,5,8,3
Deebo Samuel,SF,WR,287,5.13,22.43,7.93,11.83,1.20,5.30,0,13.17,8.67,8.40666666666667,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,1,3,0,2,2,2,2,3,2,3,1,2,2,3,2,2,5,9,2
Deon Cain,Ind,WR,358,6.33,0,2.67,0,1.47,0,0,0,0,1.16333333333333,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,3,3,1,0,3,1,3,2,2,3,1,3,2,2,2,6,6,4
Deonte Harris,NO,WR,404,5.60,3.93,13.30,7.20,0.80,3.30,10.00,5.83,0,6.245,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,1,3,2,1,3,0,3,3,2,3,1,2,1,2,6,6,4
DeVante Parker,Mia,WR,155,11.00,0,9.73,19.67,10.1,14.87,20.67,12.93,19.80,13.1966666666667,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,2,0,2,1,3,3,2,1,2,2,3,3,1,1,4,6,6
Diontae Johnson,Pit,WR,354,4.67,4.23,17.07,18.13,7.80,3.93,9.305,22.60,1.40,9.90388888888889,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,2,1,1,2,2,0,2,2,2,2,1,2,3,1,3,2,2,9,5
DK Metcalf,Sea,WR,191,12.93,18.07,8.47,1.40,13.93,13.00,7.53,21.87,28.90,14.0111111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,2,1,1,2,2,0,2,2,2,2,1,2,3,1,3,2,2,9,5
Dwayne Harris,Oak,WR,243,12.47,4.10,0,0,0,0,0,1.80,0,2.04111111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,1,3,2,1,0,1,3,3,2,1,3,1,1,2,2,1,4,4,8
Gunner Olszewski,NE,WR,1137,3.50,0.90,2.40,0,4.90,6.27,2.40,0.80,0,2.35222222222222,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,3,1,2,3,3,2,2,0,2,1,3,1,1,1,2,5,6,5
Hunter Renfrow,Oak,WR,180,3.87,8.0,7.87,4.20,2.80,5.348,4.93,18.87,21.60,8.60977777777778,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,1,3,2,1,0,1,3,3,2,1,3,1,1,2,2,1,4,4,8
Jakobi Meyers,NE,WR,350,3.47,0,6.53,0,1.40,9.60,10.13,2.33,0,3.71777777777778,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,3,1,2,3,3,2,2,0,2,1,3,1,1,1,2,5,6,5
James Washington,Pit,WR,283,7.40,5.53,2.93,0,9.47,0,4.22166666666667,3.40,12.60,5.0612962962963,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,2,1,1,2,2,0,2,2,2,2,1,2,3,1,3,2,2,9,5
Jamison Crowder,NYJ,WR,114,27.00,7.67,4.67,10.1242857142857,2.67,16.53,6.73,5.60,26.53,11.9471428571429,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,2,1,0,2,1,1,2,2,3,2,3,1,2,2,3,1,3,7,6
John Ross III,Cin,WR,148,39.53,21.47,2.47,8.4,0,0,0,0,0,8.98375,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,3,3,2,2,2,0,2,3,3,3,2,1,2,2,5,8,3
Josh Bellamy,NYJ,WR,377,3.00,1.33,0,1.44333333333333,0,0,0,0,0,0.641481481481481,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,2,1,0,2,1,1,2,2,3,2,3,1,2,2,3,1,3,7,6
Justin Hardy,Atl,WR,344,8.73,0,1.40,0,1.33,0,4.27,4.53,0,2.5325,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,1,3,3,2,2,0,2,2,3,2,2,1,2,3,5,9,2
KeeSean Johnson,Ari,WR,305,11.07,6.07,3.87,4.27,7.77,2.93,1.40,0,13.47,5.65,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,2,1,3,3,2,1,3,1,0,2,3,2,2,2,5,8,3
Kelvin Harmon,Was,WR,415,6.07,0,0,3.93,1.27,1.53,0,2.80,1.40,1.88888888888889,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,3,1,2,1,3,1,0,3,3,2,1,2,3,1,5,4,7
Marquise Brown,Bal,WR,199,32.80,17.73,7.27,7.47,13.47,0,0,0,9.20,9.77111111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,3,1,2,3,1,2,0,1,1,3,2,1,1,3,2,3,5,5,6
Mecole Hardman,KC,WR,300,4.50,21.87,20.17,5.50,13.87,13.10,16.47,24.27,10.50,14.4722222222222,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,3,2,3,2,3,1,1,3,1,2,0,3,1,1,1,2,5,5,6
Michael Gallup,Dal,WR,131,22.53,14.53,0,0,27.53,10.20,6.27,11.58,14.20,11.8711111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,2,1,3,2,0,3,3,3,1,1,1,2,2,2,5,7,4
Miles Boykin,Bal,WR,278,10.33,10.33,2.73,0,15.13,0,5.87,6.67,0,5.67333333333333,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,3,1,2,3,1,2,0,1,1,3,2,1,1,3,2,3,5,5,6
Parris Campbell,Ind,WR,339,6.17,14.60,8.70,5.67,0,7.028,0,0,21.63,7.08866666666667,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,3,3,1,0,3,1,3,2,2,3,1,3,2,2,2,6,6,4
Paul Richardson Jr.,Was,WR,160,8.40,13.07,26.53,3.93,2.93,0,0,7.27,9.80,7.99222222222222,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,3,1,2,1,3,1,0,3,3,2,1,2,3,1,5,4,7
Phillip Dorsett II,NE,WR,217,29.33,7.60,21.73,4.57,0,0,16.07,7.87,3.87,10.1155555555556,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,3,1,2,3,3,2,2,0,2,1,3,1,1,1,2,5,6,5
Preston Williams,Mia,WR,356,14.60,11.20,12.53,9.07,11.85,10.27,14.37,13.30,32.70,14.4322222222222,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,2,0,2,1,3,3,2,1,2,2,3,3,1,1,4,6,6
Randall Cobb,Dal,WR,225,20.60,10.20,4.53,9.13,9.53,0.00,6.53,8.64571428571429,9.33,8.72174603174603,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,2,1,3,2,0,3,3,3,1,1,1,2,2,2,5,7,4
Ray0Ray McCloud III,Buf,WR,733,8.10,3.90,3.60,4.80,4.20,1.00,0,0,0,2.84,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,3,1,1,1,0,2,2,2,2,2,1,1,2,3,1,3,4,6,6
Richie James Jr.,SF,WR,292,12.60,4.17,12.57,9.78,3.60,5.60,7.67,4.90,9.50,7.82111111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,1,3,0,2,2,2,2,3,2,3,1,2,2,3,2,2,5,9,2
Ryan Grant,GB,WR,246,5.07,0.87,0,0,0,0,0,0,0,0.66,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,3,1,2,1,3,3,1,2,2,0,1,3,2,1,3,3,6,4,6
Steven Sims Jr.,Was,WR,417,4.60,4.80,15.80,3.70,13.57,2.20,9.63,5.40,8.40,7.56666666666667,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,3,1,2,1,3,,0,3,3,2,1,2,3,1,5,4,6
Ted Ginn Jr.,NO,WR,219,18.73,0,3.00,5.27,13.43,8.60,6.20,6.80,0,7.75375,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,3,2,2,1,3,2,1,3,0,3,3,2,3,1,2,1,2,6,6,4
Terry McLaurin,Was,WR,314,25.33,21.13,23.67,0.00,9.40,30.67,2.73,9.60,8.60,14.57,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,3,1,2,1,3,1,0,3,3,2,1,2,3,1,5,4,7
Travis Benjamin,LAC,WR,254,3.80,0,3.33,0,2.87,1.00,0,0,0,1.22222222222222,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,3,3,2,1,3,1,1,1,3,1,0,1,2,3,3,1,6,3,7
Trevor Davis,Oak,WR,393,3.97,0,0,17.10,13.30,6.874,14.33,2.20,9.70,7.49711111111111,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,1,1,3,2,1,0,1,3,3,2,1,3,1,1,2,2,1,4,4,8
Trey Quinn,Was,WR,228,17.30,9.30,10.50,4.27,4.10,3.93,5.00,3.00,1.60,6.55555555555556,13.03982332,0.01558752998,0,0.001027749229,14.49539226,0.1123501199,0.7081363481,2.856013208,32.269065,0.2103927702,1.540232881,0.1963331099,11.87789414,2,1,1,3,1,2,1,3,1,0,3,3,2,1,2,3,1,5,4,7
Mohamed Sanu,NE,WR,138,10.80,7.07,17.20,18.27,18.90,5.93,1.20,5.53,30.40,12.8111111111111,13.029375,0,0,0,6.83333333333333,0.166666666666667,0.5,1.5,11,0,0.333333333333333,0.0277777777777779,2.3,3,2,3,1,2,3,3,2,2,0,2,1,3,1,1,1,2,5,6,5
Darren Sproles,Phi,RB,329,17.37,4.13,0.60,0.40,3.20,0,0,0,3.1,3.2,13.0283333333333,0,0,0,12.4,0,0.8,6.2,44.8,0.2,3.2,0.04,38.4,3,2,3,3,3,1,2,2,2,0,1,1,3,2,3,2,2,6,7,3
DJ Chark Jr.,Jax,WR,276,24.73,21.67,20.07,8.93,42.93,7.87,10.53,24.27,8.13,18.7922222222222,15.3367061104653,0.0237737867281055,0,0.00156750242139671,15.5426640406235,0.116986205483625,0.763317239341316,2.95323265971946,33.3111548119082,0.212174643450518,1.58291132041856,0.20278561252249,12.9113405969475,1,3,1,1,2,2,1,3,3,0,2,1,3,2,3,3,2,6,5,5
Evan Engram,NYG,TE,97,34.73,11.2,25.53,9.60,11.30,0,1.40,16.67,12.40,13.6477777777778,12.5518181818182,0,0,0,0,0,0,2.16666666666667,34.3333333333333,0.5,1.66666666666667,0.25,4.69444444444446,3,1,3,2,2,1,3,3,3,1,0,3,3,2,2,2,2,7,6,3
Robby Anderson,NYJ,WR,109,4.53,13.40,3.73,7.22,3.07,24.33,2.67,7.87,6.20,8.11333333333333,12.4735714285714,0,0,0,0,0,0,1.14285714285714,15.4285714285714,0,0.571428571428571,0,1.30612244897959,1,2,1,0,2,1,1,2,2,3,2,3,1,2,2,3,1,3,7,6
Christian Kirk,Ari,WR,95,16.13,17.60,17.93,10.17,0,0,0,18.17,3.33,9.25888888888889,12.4358333333333,0,0,0,0.428571428571429,0,0.285714285714286,0.428571428571429,4.57142857142857,0,0.142857142857143,0,0.183673469387755,3,2,2,2,1,3,3,2,1,3,1,0,2,3,2,2,2,5,8,3
Nyheim Hines,Ind,RB,135,6.57,3.23,7.03,12.20,9.97,7.8,3.17,8.47,5.10,7.06,12.045625,0,0,0,92.3333333333333,0.666666666666667,4.66666666666667,1.5,14.5,0,0.5,0.444444444444445,2.3,3,2,2,2,3,0,2,2,2,3,1,2,2,1,1,3,1,4,8,4
Zay Jones,Oak,WR,209,4.20,2.93,6.20,2.27,0,0,0,5.80,5.70,3.01111111111111,11.904375,0,0,0,13.8333333333333,0,0.333333333333333,1.33333333333333,5.83333333333333,0,0.333333333333333,0,1.77777777777777,1,1,3,2,1,0,1,3,3,2,1,3,1,1,2,2,1,4,4,8
DJ Moore,Car,WR,87,15.07,19.93,15.67,8.93,16.07,19.17,15.8066666666667,9.53,18.73,15.4340740740741,11.801875,0,0,0,0,0,0,1.6,9,0.2,0.8,0.04,2.6,2,3,3,3,2,3,0,1,1,1,3,2,2,3,2,2,2,6,7,3
Jack Doyle,Ind,TE,236,3.33,4.40,10.07,16.47,5.27,7.908,5.40,12.07,13.47,8.70977777777778,11.7216666666667,0,0,0,6.2,0.4,0.6,1,11.6,0,0.8,0.16,1,1,2,2,3,2,0,2,2,3,2,2,2,2,3,1,1,2,3,10,3
Peyton Barber,TB,RB,115,8.10,17.67,9.27,6.90,10.13,3.80,9.31166666666667,5.53,1.50,8.02351851851852,11.514375,0,0,0,1.16666666666667,0,0,7.33333333333333,80.8333333333333,0.333333333333333,4,0.111111111111111,53.77777777777770,1,3,2,2,1,3,0,2,1,2,1,2,1,1,3,2,2,3,7,6
Dion Lewis,Ten,RB,140,4.10,3.23,3.77,6.87,5.37,5.23,0.20,1.13,9.20,4.34444444444444,11.398125,0,0,0,39.1666666666667,0.5,2.33333333333333,4.33333333333333,38.5,0.333333333333333,2,0.694444444444444,18.77777777777780,3,1,1,2,2,2,2,1,3,3,0,1,1,2,2,1,2,3,7,6
Tyler Eifert,Cin,TE,218,8.80,12.60,3.20,5.80,2.93,4.87,2.67,14.93,6.975,6.975,11.2325,0,0,0,0,0,0,2.8,30.6,0.4,1.4,0.16,7.8,3,1,1,3,3,1,2,2,0,1,3,3,1,2,1,2,2,5,5,6
Cole Beasley,Buf,WR,205,9.67,12.53,15.20,16.00,6.40,11.96,14.07,15.73,11.87,12.6033333333333,11.23125,0,0,0,0,0,0,1.28571428571429,17,0,0.714285714285714,0,1.65306122448981,3,3,1,1,1,0,2,2,2,2,2,1,1,2,3,1,3,4,6,6
Gus Edwards,Bal,RB,304,9.60,1.10,13.30,7.33,6.10,5.40,5.50,6.90428571428571,8.7,7.10380952380952,11.1936363636364,0,0,0,51.8333333333333,0.833333333333333,3.16666666666667,2.5,13.5,0.166666666666667,0.5,1,6.3,3,2,3,3,2,3,1,0,1,3,2,2,1,2,3,3,2,7,6,3
Austin Hooper,Atl,TE,146,17.13,8.27,30.40,22.67,14.73,29.80,18.07,22.23,20.4125,20.4125,11.1875,0,0,0,0,0,0,3.66666666666667,54.3333333333333,0.166666666666667,2.5,0.0277777777777779,13.44444444444450,2,2,3,2,2,3,2,3,0,1,1,3,1,1,1,2,3,5,6,5
Greg Olsen,Car,TE,161,8.40,17.33,33.00,4.33,0,10.47,12.255,3.87,7.67,10.8138888888889,10.7111111111111,0,0,0,0.142857142857143,0,0,3.57142857142857,32.7142857142857,0,1.71428571428571,0,12.75510204081630,2,3,3,2,2,3,0,1,2,3,2,1,2,2,3,3,1,6,7,3
Chris Thompson,Was,RB,196,14.53,10.50,16.17,10.13,10.23,3.73,0,0,0,7.25444444444444,10.567,0,0,0,68.5,0.166666666666667,2.66666666666667,1.83333333333333,12.3333333333333,0.166666666666667,0.833333333333333,0.111111111111112,3.36111111111110,1,2,2,2,1,3,1,1,2,0,3,3,3,3,1,2,2,5,6,5
Devin Funchess,Ind,WR,145,7.13,0,0,0,0,0,0,0,7.13,1.58444444444444,10.5428571428571,0,0,0,1.5,0.166666666666667,0.166666666666667,0.333333333333333,1,0,0,0.0277777777777779,0.111111111111111,2,1,3,3,1,0,3,1,3,2,2,3,1,3,2,2,2,6,6,4
Taylor Gabriel,Chi,WR,181,4.60,5.13,40.70,0,0,0,1.40,10.53,9.60,7.99555555555556,10.435625,0,0,0,0,0,0,1.14285714285714,10,0,0.714285714285714,0,1.30612244897959,1,1,2,3,3,0,2,2,2,3,2,3,3,1,1,1,3,6,5,5
LeSean McCoy,KC,RB,235,16.90,5.30,27.13,15.80,1.53,9.40,11.20,9.53,1.90,10.9655555555556,10.3764285714286,0,0,0,0,0,0,6,61.2,1,3.2,1,36,3,2,3,1,2,0,3,1,3,3,3,2,2,1,2,1,3,7,5,4
Kenny Stills,Hou,WR,177,15.47,6.53,12.93,5.60,0,0,15.00,5.47,11.47,8.05222222222222,10.3726666666667,0,0,0,0,0,0,0.5,4.16666666666667,0.166666666666667,0.333333333333333,0.0277777777777779,0.3,2,2,2,2,3,1,2,3,2,0,2,2,1,1,1,3,1,3,8,5
