Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg
DeSean Jackson,Phi,WR,2,40.27,0.63,165,250,0,0,0,0,0,0,8,154,2,6,0,0,20.135,0,0,0,0,0,0,2,20.1428571428571,0.142857142857143,1.14285714285714
Blake Jarwin,Dal,TE,7,40.00,0.01,269,252,0,0,0,0,0,0,11,120,2,5,0,0,5.71428571428571,0,0,0,-0.714285714285714,0,0,2.14285714285714,22.7142857142857,0.142857142857143,1.14285714285714
Hayden Hurst,Bal,TE,7,39.40,0.03,255,255,0,0,0,0,0,0,14,141,1,8,0,0,5.62857142857143,0,0,0,0,0,0,2,18.5714285714286,0.142857142857143,1.14285714285714
Noah Fant,Den,TE,7,39.10,0.14,258,256,0,0,0,-5,0,0,15,159,1,8,0,1,5.58571428571429,0,0,0,0,0,0,1.4,28.6,0.4,1
Kyle Rudolph,Min,TE,7,38.67,0.31,274,258,0,0,0,0,0,0,14,130,1,8,0,0,5.52428571428571,7,0,0.2,10,0.2,0.6,2.6,16.6,0,1.4
Byron Pringle,KC,WR,7,37.90,0.02,340,260,0,0,0,0,0,0,10,147,1,6,0,0,5.41428571428571,0,0,0,7,0,0.428571428571429,2.28571428571429,16,0,0.571428571428571
Chester Rogers,Ind,WR,6,37.90,0,303,261,0,0,0,0,0,0,8,96,1,6,0,0,6.31666666666667,0,0,0,17.1666666666667,0.166666666666667,1,1.33333333333333,10.8333333333333,0,0.666666666666667
Damiere Byrd,Ari,WR,5,37.57,0,270,262,0,0,0,0,0,0,15,160,0,6,0,0,7.514,0,0,0,11.1428571428571,0,0.428571428571429,0.428571428571429,2.71428571428571,0,0.142857142857143
Ricky Seals-Jones,Cle,TE,5,37.53,0.04,240,263,0,0,0,0,0,0,7,143,2,5,0,0,7.506,0,0,0,27.4,0,1.2,1.8,11.6,0,0.6
Jakeem Grant,Mia,WR,5,37.47,0.01,201,264,0,0,0,-2,0,0,9,52,0,3,0,1,7.494,0,0,0,25.6666666666667,0.333333333333333,1.66666666666667,0.166666666666667,1.66666666666667,0,0
