Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg,l_touchdown,l_ppr
Jordy Nelson,Oak,WR,15,174.77,0%,129,0,0,0,-2,0,0,63,739,3,36,1,0,11.6513333333333,0,0,0,17.5,0,1.16666666666667,0.166666666666667,2.33333333333333,0,0,0,0.027777777777778
Robby Anderson,NYJ,WR,14,174.63,68%,130,0,0,0,-8,0,0,50,752,6,30,0,2,12.4735714285714,0,0,0,0,0,0,1.14285714285714,15.4285714285714,0,0.571428571428571,0,1.30612244897959
Curtis Samuel,Car,WR,13,174.23,75%,131,0,0,0,84,2,3,39,494,5,24,0,1,13.4023076923077,0,0,0,7.42857142857143,0,0.285714285714286,0.285714285714286,2,0.142857142857143,0.142857142857143,0.0204081632653062,0.081632653061225
Allen Robinson II,Chi,WR,13,172.17,96%,132,0,0,0,9,0,0,55,754,4,36,0,1,13.2438461538462,0,0,0,0,0,0,1.5,12.3333333333333,0,0.5,0,2.3
Antonio Callaway,Cle,WR,16,171.17,1%,134,0,0,0,7,0,1,43,586,5,27,1,1,10.698125,0,0,0,0,0,0,2.16666666666667,10.8333333333333,0,0.166666666666667,0,4.69444444444446
Taylor Gabriel,Chi,WR,16,166.97,6%,143,0,0,0,61,0,3,67,688,2,31,0,1,10.435625,0,0,0,0,0,0,1.14285714285714,10,0,0.714285714285714,0,1.30612244897959
DeSean Jackson,Phi,WR,12,166.90,62%,144,0,0,0,29,1,2,41,774,4,31,0,0,13.9083333333333,0,0,0,8.28571428571429,0,0.428571428571429,0.571428571428571,5.85714285714286,0,0.285714285714286,0,0.326530612244897
Alex Erickson,Cin,WR,16,165.43,6%,146,0,0,0,22,0,1,20,167,0,7,0,1,10.339375,0,0,0,0,0,0,2,18.5,0.5,1.5,0.25,4
Ryan Switzer,Pit,WR,16,163.87,0%,148,0,0,0,21,0,0,36,253,1,15,0,0,10.241875,0,0,0,3.5,0,0,1,11.8333333333333,0,0.166666666666667,0,1
Doug Baldwin,Sea,WR,13,163.20,0%,149,0,0,0,0,0,0,50,618,5,32,0,0,12.5538461538462,0,0,0,14,0,1.4,0.4,3.4,0,0,0,0.2
John Brown,Buf,WR,16,158.07,85%,153,0,0,0,4,0,0,42,715,5,28,0,0,9.879375,0,0,0,1.5,0,0,1.5,19,0,1,0,2.3
Tyrell Williams,Oak,WR,16,157.03,63%,156,0,0,0,15,0,1,41,653,5,30,0,0,9.814375,0,0,0,0.428571428571429,0,0,0.857142857142857,13.4285714285714,0,0.428571428571429,0,0.734693877551020
